train_arc_acc,train_lab_acc
0.70354,0.901919
0.720108,0.902381
0.71995,0.907872
0.708683,0.893839
0.703756,0.883026
0.697721,0.906199
0.677232,0.886286
0.730772,0.913575
0.711699,0.908545
0.728651,0.913155
0.714465,0.909879
0.702214,0.899225
0.724215,0.901507
0.690565,0.903694
0.719689,0.913973
0.713531,0.905559
0.714597,0.904962
0.701465,0.903255
0.72876,0.899775
0.727803,0.899908
0.71513,0.896148
0.711857,0.906644
0.734153,0.906744
0.712047,0.885513
0.727175,0.908659
0.70935,0.904845
0.716928,0.909526
0.709583,0.883355
0.715149,0.906678
0.709988,0.905819
0.728942,0.903747
0.733221,0.905449
0.739023,0.912033
0.752547,0.91196
0.719836,0.910422
0.737792,0.911523
0.746586,0.901876
0.72234,0.888282
0.749587,0.913848
0.741426,0.901913
0.730553,0.907291
0.714839,0.898633
0.741004,0.910331
0.725903,0.904058
0.731072,0.907646
0.729313,0.899315
0.725772,0.89625
0.730767,0.913156
0.72243,0.908348
0.738943,0.909798
0.735185,0.90968
0.732372,0.914547
0.738182,0.913014
0.737335,0.904557
0.723349,0.911934
0.743656,0.915673
0.714909,0.914675
0.749672,0.902686
0.744781,0.915741
0.749777,0.913848
0.704434,0.888254
0.762799,0.909654
0.74152,0.907551
0.723924,0.897293
0.752736,0.915174
0.732897,0.90089
0.713577,0.890188
0.720736,0.912618
0.740441,0.906729
0.767584,0.918529
0.713774,0.914099
0.731478,0.900285
0.726639,0.898754
0.714418,0.897685
0.758746,0.909801
0.738425,0.910582
0.727719,0.914478
0.746703,0.91315
0.728123,0.899503
0.73919,0.915919
0.743295,0.896835
0.742285,0.921554
0.726247,0.902994
0.758662,0.919895
0.747116,0.919524
0.758132,0.909795
0.749554,0.917135
0.724082,0.922428
0.740065,0.90785
0.755965,0.910557
0.743355,0.896315
0.746224,0.919351
0.734825,0.906472
0.754464,0.917765
0.732914,0.892579
0.748863,0.916875
0.75365,0.907101
0.73385,0.901249
0.731823,0.914205
0.74461,0.907594
0.73849,0.905547
0.768194,0.925118
0.750299,0.899457
0.750408,0.921097
0.765985,0.911967
0.754263,0.90616
0.734831,0.907001
0.750074,0.910945
0.746923,0.912851
0.758785,0.911273
0.734701,0.901011
0.736475,0.917617
0.741648,0.908175
0.714048,0.911083
0.752787,0.905263
0.740221,0.915797
0.7768,0.900119
0.750141,0.926962
0.762835,0.91044
0.747445,0.914805
0.754888,0.919293
0.745925,0.91565
0.757544,0.910881
0.757958,0.90068
0.768577,0.908007
0.739185,0.89413
0.741946,0.900728
0.749183,0.915999
0.731999,0.90909
0.767737,0.927714
0.755428,0.904508
0.7461,0.921494
0.750539,0.919549
0.754507,0.919036
0.752949,0.918727
0.755239,0.919382
0.767908,0.922566
0.743493,0.902109
0.753036,0.910981
0.752418,0.913078
0.759456,0.916027
0.752369,0.913015
0.736153,0.908219
0.763622,0.908603
0.747119,0.911367
0.758895,0.914337
0.763859,0.91475
0.72919,0.905788
0.746109,0.914096
0.759623,0.917472
0.766111,0.915195
0.746253,0.910794
0.770814,0.908882
0.761187,0.90184
0.772873,0.907197
0.749171,0.913065
0.754287,0.917972
0.778457,0.913445
0.767015,0.908439
0.741807,0.930616
0.753238,0.916106
0.736247,0.908967
0.74974,0.916067
0.758021,0.90489
0.763817,0.916521
0.750588,0.902927
0.746789,0.914127
0.762331,0.926904
0.748861,0.920988
0.730155,0.903774
0.774239,0.926092
0.76931,0.902542
0.747653,0.910773
0.749184,0.900888
0.768831,0.915794
0.772666,0.917444
0.748721,0.905402
0.768759,0.922539
0.762566,0.918964
0.748982,0.914145
0.755722,0.905886
0.760804,0.899182
0.775325,0.921596
0.747027,0.911907
0.789025,0.917459
0.760599,0.923799
0.759229,0.915165
0.795976,0.925372
0.767254,0.924612
0.785751,0.931025
0.767658,0.921947
0.783816,0.925823
0.79162,0.912419
0.780223,0.929122
0.772132,0.915954
0.761619,0.905511
0.757403,0.915371
0.748241,0.91654
0.773548,0.921709
0.754395,0.919523
0.753888,0.921845
0.761044,0.908251
0.776823,0.927147
0.753438,0.901239
0.767908,0.927433
0.75186,0.912226
0.774638,0.925698
0.759716,0.920683
0.78202,0.921488
0.790327,0.919771
0.770009,0.91375
0.747974,0.914523
0.75823,0.90562
0.757999,0.919106
0.776117,0.932232
0.765961,0.923983
0.752859,0.922072
0.752125,0.923293
0.755201,0.920943
0.769023,0.92352
0.755544,0.917375
0.75289,0.921767
0.765906,0.923308
0.751708,0.903009
0.76698,0.9267
0.774486,0.923216
0.73803,0.923396
0.76369,0.906155
0.785547,0.92287
0.773698,0.912021
0.770451,0.926257
0.777597,0.930058
0.744204,0.919125
0.772288,0.903565
0.763012,0.910377
0.748286,0.91694
0.759735,0.911982
0.783558,0.916355
0.775847,0.914826
0.803509,0.911149
0.756634,0.916838
0.782022,0.915832
0.773853,0.915728
0.767903,0.918653
0.797694,0.908617
0.78041,0.919667
0.756621,0.911036
0.755395,0.906883
0.755456,0.910473
0.756195,0.909853
0.784461,0.918915
0.780282,0.915228
0.758628,0.927891
0.771426,0.904741
0.777014,0.925342
0.767324,0.913946
0.766012,0.926282
0.783352,0.917241
0.760043,0.918741
0.77644,0.919856
0.796847,0.925921
0.771256,0.921688
0.751557,0.917197
0.792978,0.927962
0.785395,0.928378
0.760202,0.907557
0.767977,0.920861
0.783011,0.923543
0.785085,0.938696
0.758211,0.919661
0.788871,0.928487
0.773684,0.909227
0.776558,0.927132
0.772538,0.913244
0.774517,0.9193
0.753154,0.918324
0.777007,0.928627
0.779729,0.92011
0.767549,0.926196
0.769108,0.912846
0.752242,0.908014
0.782754,0.916154
0.769464,0.896699
0.748528,0.900596
0.772323,0.906283
0.769834,0.924493
0.773705,0.920317
0.786241,0.921849
0.763505,0.932328
0.799385,0.92341
0.791682,0.926791
0.781548,0.921727
0.772854,0.916649
0.777253,0.916558
0.785572,0.93042
0.784723,0.924348
0.757798,0.925917
0.756985,0.911479
0.788749,0.92259
0.776779,0.913344
0.777456,0.916983
0.780767,0.924409
0.785547,0.928417
0.772403,0.924651
0.792544,0.929367
0.762796,0.914406
0.787821,0.918818
0.78045,0.923099
0.787269,0.928664
0.761371,0.911352
0.760748,0.907675
0.754172,0.912485
0.779302,0.92684
0.767769,0.912852
0.764804,0.921346
0.759116,0.924848
0.774951,0.913499
0.765994,0.922779
0.764294,0.926191
0.771862,0.915302
0.777853,0.917761
